,accuracy,alpha,analyzer,ngram_range
0,0.5573770491803278,0.1,word,"(1, 1)"
1,0.3016393442622951,1.0,word,"(1, 1)"
2,0.26229508196721313,2.0,word,"(1, 1)"
3,0.21639344262295082,0.1,char,"(1, 1)"
4,0.19672131147540983,1.0,char,"(1, 1)"
5,0.1901639344262295,2.0,char,"(1, 1)"
6,0.4524590163934426,0.1,word,"(1, 2)"
7,0.28852459016393445,1.0,word,"(1, 2)"
8,0.24918032786885247,2.0,word,"(1, 2)"
9,0.22950819672131148,0.1,char,"(1, 2)"
10,0.19344262295081968,1.0,char,"(1, 2)"
11,0.1901639344262295,2.0,char,"(1, 2)"
12,0.42295081967213116,0.1,word,"(1, 3)"
13,0.2786885245901639,1.0,word,"(1, 3)"
14,0.23934426229508196,2.0,word,"(1, 3)"
15,0.25573770491803277,0.1,char,"(1, 3)"
16,0.20655737704918034,1.0,char,"(1, 3)"
17,0.19344262295081968,2.0,char,"(1, 3)"
18,0.40327868852459015,0.1,word,"(1, 4)"
19,0.2754098360655738,1.0,word,"(1, 4)"
20,0.2360655737704918,2.0,word,"(1, 4)"
21,0.2786885245901639,0.1,char,"(1, 4)"
22,0.2098360655737705,1.0,char,"(1, 4)"
23,0.20655737704918034,2.0,char,"(1, 4)"
24,0.3901639344262295,0.1,word,"(1, 5)"
25,0.2721311475409836,1.0,word,"(1, 5)"
26,0.2360655737704918,2.0,word,"(1, 5)"
27,0.28852459016393445,0.1,char,"(1, 5)"
28,0.2098360655737705,1.0,char,"(1, 5)"
29,0.20655737704918034,2.0,char,"(1, 5)"
30,0.3836065573770492,0.1,word,"(1, 6)"
31,0.2721311475409836,1.0,word,"(1, 6)"
32,0.2360655737704918,2.0,word,"(1, 6)"
33,0.29508196721311475,0.1,char,"(1, 6)"
34,0.2098360655737705,1.0,char,"(1, 6)"
35,0.2098360655737705,2.0,char,"(1, 6)"
36,0.3737704918032787,0.1,word,"(1, 7)"
37,0.2721311475409836,1.0,word,"(1, 7)"
38,0.2262295081967213,2.0,word,"(1, 7)"
39,0.3016393442622951,0.1,char,"(1, 7)"
40,0.2098360655737705,1.0,char,"(1, 7)"
41,0.2098360655737705,2.0,char,"(1, 7)"
42,0.3704918032786885,0.1,word,"(1, 8)"
43,0.2721311475409836,1.0,word,"(1, 8)"
44,0.2262295081967213,2.0,word,"(1, 8)"
45,0.3016393442622951,0.1,char,"(1, 8)"
46,0.2098360655737705,1.0,char,"(1, 8)"
47,0.2098360655737705,2.0,char,"(1, 8)"
48,0.49508196721311476,0.1,word,"(2, 3)"
49,0.28852459016393445,1.0,word,"(2, 3)"
50,0.2262295081967213,2.0,word,"(2, 3)"
51,0.3475409836065574,0.1,char,"(2, 3)"
52,0.21311475409836064,1.0,char,"(2, 3)"
53,0.2098360655737705,2.0,char,"(2, 3)"
